// SR1 Audio Analyzer: 12/6/2024 10:22:58 AM

// Series: A1:FFT1:Power Spectrum A
// Units: Hz,V/rtHz
82.275390625,1.67640446859507E-8
82.51953125,1.70739724544509E-8
82.763671875,1.71161064620291E-8
83.0078125,1.67813212375207E-8
83.251953125,1.66630346111661E-8
83.49609375,1.6904591650867E-8
83.740234375,1.72395838143111E-8
83.984375,1.77593716059328E-8
84.228515625,1.79941764315745E-8
84.47265625,1.84821577366737E-8
84.716796875,2.19410183923541E-8
84.9609375,2.82385476110959E-8
85.205078125,3.10156384809997E-8
85.44921875,2.65238489162977E-8
85.693359375,1.98365129961375E-8
85.9375,1.68496856783306E-8
86.181640625,1.63119443919394E-8
86.42578125,1.67365171943785E-8
86.669921875,1.73719658961827E-8
86.9140625,1.73512643448838E-8
87.158203125,1.70437641687015E-8
87.40234375,1.70957374349399E-8
87.646484375,1.68873298977254E-8
87.890625,1.65699161747793E-8
88.134765625,1.67823162101171E-8
88.37890625,1.69841983478039E-8
88.623046875,1.69875669249974E-8
88.8671875,1.76207827307972E-8
89.111328125,1.86398988309374E-8
89.35546875,1.86860975199942E-8
89.599609375,1.77568926615885E-8
89.84375,1.73288871938471E-8
90.087890625,1.78453458992293E-8
90.33203125,1.84680460835426E-8
90.576171875,1.89999418257579E-8
90.8203125,1.92921381927303E-8
91.064453125,1.94653712524251E-8
91.30859375,1.96462588356473E-8
91.552734375,1.89371103737408E-8
91.796875,1.74363236127863E-8
92.041015625,1.68308861290184E-8
92.28515625,1.69777032273295E-8
92.529296875,1.69257987271049E-8
92.7734375,1.71882051005465E-8
93.017578125,1.78283591500914E-8
93.26171875,1.81779363706616E-8
93.505859375,1.81069407229115E-8
93.75,1.79988650704064E-8
93.994140625,1.74301312318824E-8
94.23828125,1.68156083531254E-8
94.482421875,1.7173088836053E-8
94.7265625,1.79047663484087E-8
94.970703125,1.82679325539666E-8
95.21484375,1.82478800750282E-8
95.458984375,1.82499938359734E-8
95.703125,1.84212432828383E-8
95.947265625,1.83691186431152E-8
96.19140625,1.7841103953573E-8
96.435546875,1.70294393898928E-8
96.6796875,1.67357699312173E-8
96.923828125,1.73620731093328E-8
97.16796875,1.80694393091961E-8
97.412109375,1.7930638929518E-8
97.65625,1.72739457161732E-8
97.900390625,1.71659467023422E-8
98.14453125,1.75419354027517E-8
98.388671875,1.77329933339938E-8
98.6328125,1.77651107353546E-8
98.876953125,1.77837445869938E-8
99.12109375,1.74314748617148E-8
99.365234375,1.73728828776878E-8
99.609375,1.87822690010073E-8
99.853515625,2.0861894315993E-8
100.09765625,2.11438585900836E-8
100.341796875,1.94393754275206E-8
100.5859375,1.77698911177139E-8
100.830078125,1.69294049647825E-8
101.07421875,1.7054739138207E-8
101.318359375,1.74631538575963E-8
101.5625,1.74601665159016E-8
101.806640625,1.70610666453936E-8
102.05078125,1.72720173529131E-8
102.294921875,1.81497785794205E-8
102.5390625,1.82699957001524E-8
102.783203125,1.76106114672441E-8
103.02734375,1.74312459787755E-8
103.271484375,1.77438452261425E-8
103.515625,1.76586145408363E-8
103.759765625,1.72333875223402E-8
104.00390625,1.68626696606022E-8
104.248046875,1.69359061497174E-8
104.4921875,1.71243783439922E-8
104.736328125,1.7153849799548E-8
104.98046875,1.76106425093668E-8
105.224609375,1.80365653326465E-8
105.46875,1.79026086122099E-8
105.712890625,1.7727514312651E-8
105.95703125,1.81155341866435E-8
106.201171875,1.84745685601315E-8
106.4453125,1.80687652182111E-8
106.689453125,1.74916142545301E-8
106.93359375,1.73868336866538E-8
107.177734375,1.74861451628657E-8
107.421875,1.74058995066123E-8
107.666015625,1.70908492965329E-8
107.91015625,1.70006503852246E-8
108.154296875,1.77350197481129E-8
108.3984375,1.80870650286045E-8
108.642578125,1.72562797909313E-8
108.88671875,1.60524742841897E-8
109.130859375,1.59218601577048E-8
109.375,1.67429815763491E-8
109.619140625,1.73606760459944E-8
109.86328125,1.78510686703998E-8
110.107421875,1.83974036500737E-8
110.3515625,1.87723193621789E-8
110.595703125,1.86016941541217E-8
110.83984375,1.79415904434336E-8
111.083984375,1.72280390924053E-8
111.328125,1.70424124818715E-8
111.572265625,1.74800856517223E-8
111.81640625,1.77360450351751E-8
112.060546875,1.74734449865943E-8
112.3046875,1.71548119842802E-8
112.548828125,1.71279360520163E-8
112.79296875,1.75565439918621E-8
113.037109375,1.80735576182066E-8
113.28125,1.84122789098527E-8
113.525390625,1.87015175347455E-8
113.76953125,1.86401581505348E-8
114.013671875,1.80926127469746E-8
114.2578125,1.76105303217877E-8
114.501953125,1.74043373396291E-8
114.74609375,1.75103025370816E-8
114.990234375,1.80373140039314E-8
115.234375,1.84056843365339E-8
115.478515625,1.8284582268993E-8
115.72265625,1.77362278069182E-8
115.966796875,1.74041940650909E-8
116.2109375,1.77299632858196E-8
116.455078125,1.79596235997376E-8
116.69921875,1.74494795227785E-8
116.943359375,1.70786357456054E-8
117.1875,1.75585864000807E-8
117.431640625,1.79469319668507E-8
117.67578125,1.7898606898113E-8
117.919921875,1.77547688113635E-8
118.1640625,1.78634633291742E-8
118.408203125,1.80592286478978E-8
118.65234375,1.75792282091773E-8
118.896484375,1.677304542015E-8
119.140625,1.64364133336076E-8
119.384765625,1.64096582923543E-8
119.62890625,1.64760916044533E-8
119.873046875,1.68130609926542E-8
120.1171875,1.70919626043341E-8
120.361328125,1.70251575197637E-8
120.60546875,1.69787550406346E-8
120.849609375,1.71928106319097E-8
121.09375,1.73003337238833E-8
121.337890625,1.69382255363299E-8
121.58203125,1.64780077643618E-8
121.826171875,1.65032509347293E-8
122.0703125,1.68194691558008E-8
122.314453125,1.6705119436284E-8
122.55859375,1.60740305341449E-8
122.802734375,1.57985526320146E-8
123.046875,1.63515469689842E-8
123.291015625,1.70455315541589E-8
123.53515625,1.72970377017107E-8
123.779296875,1.72303942982265E-8
124.0234375,1.70930247805184E-8
124.267578125,1.72031358164366E-8
124.51171875,1.73072347634233E-8
124.755859375,1.73554900740652E-8
125,1.76201769314408E-8
125.244140625,1.80974846836301E-8
125.48828125,1.8623160969393E-8
125.732421875,1.85834170261532E-8
125.9765625,1.79144001357961E-8
126.220703125,1.71117207321206E-8
126.46484375,1.66198328153852E-8
126.708984375,1.66339389532819E-8
126.953125,1.69015112580492E-8
127.197265625,1.70640069511421E-8
127.44140625,1.77755863849459E-8
127.685546875,1.95972703842854E-8
127.9296875,2.10768655136412E-8
128.173828125,2.01901519344497E-8
128.41796875,1.81076494090018E-8
128.662109375,1.72185771717469E-8
128.90625,1.72124385097874E-8
129.150390625,1.6889080717321E-8
129.39453125,1.69789792910055E-8
129.638671875,1.79591451151663E-8
129.8828125,1.80876652652338E-8
130.126953125,1.71200389893565E-8
130.37109375,1.68381510179144E-8
130.615234375,1.72493833857768E-8
130.859375,1.74700729268561E-8
131.103515625,1.74575352106517E-8
131.34765625,1.72156961338984E-8
131.591796875,1.71149386876975E-8
131.8359375,1.75250310764765E-8
132.080078125,1.81293869843454E-8
132.32421875,1.84418738229682E-8
132.568359375,1.81247363431215E-8
132.8125,1.75069151157743E-8
133.056640625,1.70280623470711E-8
133.30078125,1.69675630485375E-8
133.544921875,1.71107297803313E-8
133.7890625,1.69180981267985E-8
134.033203125,1.69479594194947E-8
134.27734375,1.70699231253179E-8
134.521484375,1.67828968216655E-8
134.765625,1.6797378181577E-8
135.009765625,1.71675881031493E-8
135.25390625,1.75695039834224E-8
135.498046875,1.78279454635633E-8
135.7421875,1.75582903502802E-8
135.986328125,1.72167116823418E-8
136.23046875,1.71697002399891E-8
136.474609375,1.74352317437196E-8
136.71875,1.80632080517838E-8
136.962890625,1.84895259408068E-8
137.20703125,1.85037860362521E-8
137.451171875,1.80770287936352E-8
137.6953125,1.73005876218275E-8
137.939453125,1.71591196291585E-8
138.18359375,1.75388734407388E-8
138.427734375,1.7721566015922E-8
138.671875,1.74409175147951E-8
138.916015625,1.71555544118465E-8
139.16015625,1.74387573821493E-8
139.404296875,1.74445294199712E-8
139.6484375,1.68197810608381E-8
139.892578125,1.64672017119846E-8
140.13671875,1.63926429694099E-8
140.380859375,1.683380055098E-8
140.625,1.75386399442008E-8
140.869140625,1.78045929212885E-8
141.11328125,1.82000337028027E-8
141.357421875,1.92231861647863E-8
